iter	Logloss
0	0.5788632406
1	0.4969549606
2	0.436586884
3	0.3930144949
4	0.3604337988
5	0.3364905165
6	0.3204755605
7	0.306465284
8	0.2964669279
9	0.2863702664
10	0.2780142259
11	0.2719063949
12	0.2666411054
13	0.2616809859
14	0.258248018
15	0.2549621641
16	0.2514928427
17	0.2489124084
18	0.2467921124
19	0.2442286309
20	0.2424232672
21	0.2404483633
22	0.2385658523
23	0.2370654244
24	0.2355393034
25	0.2342760793
26	0.2328971292
27	0.2316242343
28	0.2300142691
29	0.2287595649
30	0.2278939289
31	0.2267531559
32	0.2256872016
33	0.2249230876
34	0.2239238972
35	0.2223892186
36	0.2217386771
37	0.2209858023
38	0.220064285
39	0.2192865329
40	0.218020368
41	0.2166071048
42	0.2159446195
43	0.2152761505
44	0.2145314317
45	0.2142036749
46	0.213525652
47	0.2128428302
48	0.2123928645
49	0.2118124979
50	0.2114025786
51	0.2111623585
52	0.2104628719
53	0.2096551442
54	0.2089450646
55	0.2084415591
56	0.2078369847
57	0.2074378996
58	0.2070942532
59	0.2062951438
60	0.205872898
61	0.2053891793
62	0.2048742774
63	0.2044364497
64	0.2041063748
65	0.2035705478
66	0.2032361812
67	0.2029841502
68	0.2023397025
69	0.2018517645
70	0.2014608038
71	0.2011241549
72	0.2004583101
73	0.1998352875
74	0.1992566065
75	0.1988309572
76	0.1982209001
77	0.1977323718
78	0.1974914275
79	0.1971265308
80	0.1964816762
81	0.1961319246
82	0.1957662058
83	0.1954259282
84	0.1950658269
85	0.194599311
86	0.1941895944
87	0.1938650442
88	0.1933321632
89	0.1929700435
90	0.192515885
91	0.1920876499
92	0.1916515491
93	0.1913478964
94	0.1910856369
95	0.1904145971
96	0.1901016148
97	0.1897062868
98	0.189238626
99	0.1887964181
100	0.1885539458
101	0.1883205583
102	0.188014315
103	0.1877782993
104	0.1874026627
105	0.1869042293
106	0.186659746
107	0.1862436074
108	0.1857027559
