iter	Passed	Remaining
0	11	2306
1	22	2238
2	33	2167
3	44	2187
4	55	2181
5	68	2215
6	80	2212
7	91	2197
8	101	2163
9	112	2140
10	123	2126
11	134	2110
12	145	2086
13	155	2062
14	165	2047
15	178	2048
16	189	2042
17	200	2030
18	211	2014
19	222	2002
20	232	1986
21	242	1963
22	252	1940
23	261	1920
24	272	1906
25	284	1905
26	296	1897
27	307	1886
28	318	1875
29	327	1856
30	337	1839
31	347	1826
32	357	1808
33	368	1800
34	379	1787
35	390	1776
36	400	1762
37	409	1746
38	419	1732
39	430	1720
40	440	1707
41	450	1695
42	461	1684
43	475	1684
44	485	1673
45	496	1661
46	508	1655
47	519	1644
48	530	1636
49	541	1625
50	552	1614
51	556	1582
52	567	1573
53	578	1563
54	589	1552
55	600	1543
56	611	1534
57	622	1524
58	633	1514
59	643	1502
60	654	1490
61	664	1480
62	675	1467
63	685	1457
64	697	1448
65	710	1441
66	721	1431
67	732	1421
68	742	1409
69	754	1401
70	764	1389
71	775	1379
72	786	1367
73	797	1357
74	808	1348
75	820	1337
76	831	1328
77	841	1316
78	852	1305
79	862	1293
80	874	1284
81	885	1273
82	896	1263
83	907	1253
84	919	1243
85	930	1233
86	941	1222
87	952	1212
88	964	1202
89	975	1192
90	986	1182
91	998	1172
92	1009	1161
93	1020	1151
94	1033	1142
95	1044	1131
96	1056	1121
97	1068	1111
98	1079	1101
99	1091	1091
100	1103	1081
101	1114	1070
102	1125	1059
103	1136	1049
104	1147	1038
105	1158	1027
106	1169	1016
107	1180	1005
108	1190	993
